"","target.let","neighbour.let","weights"
"96","Ableiges","Charmont",0.121918702645344
"97","Ableiges","Drocourt",0.121453956996442
"98","Ableiges","Berville",0.106046465603189
"99","Ableiges","Bouafle",0.0588545620075137
"100","Ableiges","Valmondois",0.0504974146438204
"101","Ablis","Ablis",1
"102","Ablis","Orsonville",0.991983766364165
"103","Ablis","Boinville-le-Gaillard",0.979846500456797
"104","Ablis","Saint-Martin-de-Bréthencourt",0.971875346104832
"105","Ablis","Corbreuse",0.927559401374166
"106","Ablis","Richarville",0.916325699983989
"107","Ablis","Prunay-en-Yvelines",0.889157317322613
"108","Ablis","Authon-la-Plaine",0.871798243371498
"109","Ablis","Paray-Douaville",0.864009095217393
"110","Ablis","Plessis-Saint-Benoist",0.847988420659287
"111","Ablis","Allainville",0.847988420659286
"112","Ablis","La Forêt-le-Roi",0.821741321515422
"113","Ablis","Saint-Escobille",0.797914653061055
"114","Ablis","Chatignonville",0.795646849138439
"115","Ablis","Boutervilliers",0.766805118354835
"116","Ablis","Mérobert",0.756421668032919
"117","Ablis","Ponthévrard",0.666479100598535
"118","Ablis","Pecqueuse",0.640258410431867
"119","Ablis","Sonchamp",0.625055328358024
"120","Ablis","Orcemont",0.559399225500469
"121","Ablis","Congerville-Thionville",0.541977455999452
"122","Ablis","Boissy-le-Sec",0.478482300677281
"123","Ablis","Chalou-Moulineux",0.477685040737307
"124","Ablis","Roinville",0.466032859083953
"125","Ablis","Chalo-Saint-Mars",0.448084544576201
"126","Ablis","Saint-Hilaire",0.432264502132977
"127","Ablis","Orphin",0.399921193493889
"128","Ablis","Sermaise",0.347755823325049
"129","Ablis","Vaugrigneuse",0.343379788314343
"130","Ablis","Pussay",0.330373024243
"131","Ablis","Les Granges-le-Roi",0.324095832424687
"132","Ablis","Choisel",0.303193270228033
"133","Ablis","Brières-les-Scellés",0.301134400729706
"134","Ablis","Les Molières",0.298449989555117
"135","Ablis","Chauffour-lès-Étréchy",0.290725084081163
"136","Ablis","Hermeray",0.261461104661485
"137","Ablis","Limours",0.238452368986196
"138","Ablis","Monnerville",0.237638602298128
"139","Ablis","Villeconin",0.226613187740674
"140","Ablis","Boullay-les-Troux",0.222861972568332
"141","Ablis","Gometz-la-Ville",0.201769781979307
"142","Ablis","Étampes",0.201442719623836
"143","Ablis","Briis-sous-Forges",0.1943143483851
"144","Ablis","Guillerval",0.190633239349091
"145","Ablis","Les Essarts-le-Roi",0.170234045238306
"146","Ablis","Mauchamps",0.128625861891909
"147","Ablis","Le Mesnil-Saint-Denis",0.0991351384314457
"148","Ablis","Janvry",0.0788708953321101
"149","Ablis","Saint-Yon",0.0648196017433042
"150","Ablis","Le Tartre-Gaudran",0.0476358147804014
"151","Ablon-sur-Seine","Ablon-sur-Seine",1
"152","Ablon-sur-Seine","Savigny-sur-Orge",0.894303172442342
"153","Ablon-sur-Seine","Juvisy-sur-Orge",0.889843014779652
"154","Ablon-sur-Seine","Crosne",0.799469013771288
"155","Ablon-sur-Seine","Villejuif",0.794266950556744
"156","Ablon-sur-Seine","Maisons-Alfort",0.770196862386055
"157","Ablon-sur-Seine","L'Haÿ-les-Roses",0.764145316759168
"158","Ablon-sur-Seine","Morsang-sur-Orge",0.736739904885239
"159","Ablon-sur-Seine","Viry-Châtillon",0.702351201167279
"160","Ablon-sur-Seine","Athis-Mons",0.682706909820655
"161","Ablon-sur-Seine","Alfortville",0.677274372402406
"162","Ablon-sur-Seine","Brunoy",0.676194747483514
"163","Ablon-sur-Seine","Saint-Maur-des-Fossés",0.651956480308717
"164","Ablon-sur-Seine","Antony",0.651876319417738
"165","Ablon-sur-Seine","Bourg-la-Reine",0.648091559594792
"166","Ablon-sur-Seine","Choisy-le-Roi",0.641775344567776
"167","Ablon-sur-Seine","Villemoisson-sur-Orge",0.622358722258996
"168","Ablon-sur-Seine","Cachan",0.608465896184218
"169","Ablon-sur-Seine","Ris-Orangis",0.582703241579051
"170","Ablon-sur-Seine","Créteil",0.578002036308073
"171","Ablon-sur-Seine","Vigneux-sur-Seine",0.573543906869192
"172","Ablon-sur-Seine","Le Kremlin-Bicêtre",0.562784897338567
"173","Ablon-sur-Seine","Charenton-le-Pont",0.485049486155905
"174","Ablon-sur-Seine","Vitry-sur-Seine",0.478790227952593
"175","Ablon-sur-Seine","Joinville-le-Pont",0.44602033731475
"176","Ablon-sur-Seine","Longjumeau",0.426869616539683
"177","Ablon-sur-Seine","Arcueil",0.426081973880389
"178","Ablon-sur-Seine","Épinay-sur-Orge",0.420748692327811
"179","Ablon-sur-Seine","Villeneuve-Saint-Georges",0.40335458773884
"180","Ablon-sur-Seine","Villecresnes",0.402213431940145
"181","Ablon-sur-Seine","Évry",0.394977202037657
"182","Ablon-sur-Seine","Gentilly",0.354445244195641
"183","Ablon-sur-Seine","Sainte-Geneviève-des-Bois",0.33266044024699
"184","Ablon-sur-Seine","Saint-Maurice",0.325525850842692
"185","Ablon-sur-Seine","Fontenay-aux-Roses",0.280231362608115
"186","Ablon-sur-Seine","Bagneux",0.278356458370283
"187","Ablon-sur-Seine","Ormesson-sur-Marne",0.237817545703124
"188","Ablon-sur-Seine","Sceaux",0.234901609812767
"189","Ablon-sur-Seine","Champigny-sur-Marne",0.206505652410614
"190","Ablon-sur-Seine","Ivry-sur-Seine",0.199804601658609
"191","Ablon-sur-Seine","Châtillon",0.164653761204154
"192","Ablon-sur-Seine","Saint-Michel-sur-Orge",0.162154106880184
"193","Ablon-sur-Seine","Chennevières-sur-Marne",0.139665334587393
"194","Ablon-sur-Seine","Villiers-sur-Orge",0.13105051828852
"195","Ablon-sur-Seine","Nogent-sur-Marne",0.126802832640068
"196","Ablon-sur-Seine","Châtenay-Malabry",0.120330206552949
"197","Ablon-sur-Seine","Le Plessis-Robinson",0.101093890740608
"198","Ablon-sur-Seine","La Ville-du-Bois",0.0503795960278495
"199","Ablon-sur-Seine","Longpont-sur-Orge",0.0447670227760049
"200","Ablon-sur-Seine","Corbeil-Essonnes",0.0429091682966033
"201","Achères","Achères",1
"202","Achères","Neuville-sur-Oise",0.988275266462934
"203","Achères","Conflans-Sainte-Honorine",0.967303372540277
"204","Achères","La Frette-sur-Seine",0.962136718393984
"205","Achères","Montesson",0.953732238248223
"206","Achères","Carrières-sous-Poissy",0.952255446763912
"207","Achères","Éragny",0.910642857844151
"208","Achères","Chanteloup-les-Vignes",0.885369477021657
"209","Achères","Poissy",0.865944143848532
"210","Achères","Beauchamp",0.827764787817725
"211","Achères","Pontoise",0.808978303004631
"212","Achères","Sartrouville",0.77868195303445
"213","Achères","Montigny-lès-Cormeilles",0.771240975754414
"214","Achères","Herblay",0.742456579591657
"215","Achères","Cormeilles-en-Parisis",0.725324667514474
"216","Achères","Cergy",0.708122998000197
"217","Achères","Bezons",0.668362231898068
"218","Achères","Croissy-sur-Seine",0.569976531894528
"219","Achères","Argenteuil",0.562784897338567
"220","Achères","Chatou",0.525943369727811
"221","Achères","Houilles",0.525313386919335
"222","Achères","Le Vésinet",0.523346450980572
"223","Achères","Le Pecq",0.514490973933447
"224","Achères","Vauréal",0.512693341020617
"225","Achères","Nanterre",0.469637047656428
"226","Achères","Le Port-Marly",0.46064424525964
"227","Achères","Saint-Ouen-l'Aumône",0.453066529667821
"228","Achères","Taverny",0.442711601145583
"229","Achères","Villennes-sur-Seine",0.410849341133271
"230","Achères","Franconville",0.39896810283632
"231","Achères","Carrières-sur-Seine",0.392697606296514
"232","Achères","Bougival",0.370668358835968
"233","Achères","Maisons-Laffitte",0.366092731818101
"234","Achères","Vernouillet",0.358038811126415
"235","Achères","Les Mureaux",0.342097709769989
"236","Achères","Ermont",0.315000368611677
"237","Achères","Osny",0.279695711452785
"238","Achères","Sannois",0.278506480256766
"239","Achères","Colombes",0.276583917176
"240","Achères","La Garenne-Colombes",0.244886145837366
"241","Achères","Rueil-Malmaison",0.212243628218574
"242","Achères","Saint-Leu-la-Forêt",0.177767274614666
