"","ID_BDCARTO","NOM_COMM","INSEE_COMM","X_COMMUNE","Y_COMMUNE","12","2","21","23","3","20","18","24","7","11","6","25","29","4","10","35","41","1","16","5","40","9","8","27","15"
"29","SURFCOMM0000000013681351","La Forêt-Sainte-Croix","91248",6430,68096,0.8439,0,0.0948,0,0,0,0,0,0,0,0,0.0613,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","SURFCOMM0000000013681352","Bois-Herpin","91075",6433,68080,0.7801,0,0.156,0,0,0,0,0,0,0,0,0.0639,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","SURFCOMM0000000013681353","Maisse","91359",6538,68107,0.5216,0.0863,0.0418,0.1309,0.0121,0,0,0.0617,0.0227,0,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","SURFCOMM0000000013681354","Courdimanche-sur-Essonne","91184",6540,68133,0.5602,0.0035,0,0.0366,0,0,0,0,0,0.0593,0,0.3403,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","SURFCOMM0000000013681355","Gironville-sur-Essonne","91273",6540,68083,0.6759,0.0444,0.0602,0.0617,0,0,0.0226,0.0789,0,0,0,0.0564,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","SURFCOMM0000000013681356","Milly-la-Forêt","91405",6606,68117,0.3405,0.0744,0.0383,0.3402,0.0095,0.0092,0,0.1465,0.0205,0,0,0.0071,0.0139,0,0,0,0,0,0,0,0,0,0,0,0
"35","SURFCOMM0000000013681357","Oncy-sur-École","91463",6610,68093,0.4296,0.1426,0.0481,0.0611,0,0,0,0,0,0,0,0.3185,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","SURFCOMM0000000013681358","Chatignonville","91145",6210,68191,0.9981,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","SURFCOMM0000000013681359","Richarville","91519",6261,68195,0.9018,0.0276,0,0.0705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","SURFCOMM0000000013681360","Authon-la-Plaine","91035",6229,68172,0.9724,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","SURFCOMM0000000013681361","Plessis-Saint-Benoist","91495",6265,68164,0.9088,0.0293,0,0.0619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","SURFCOMM0000000013681362","Saint-Escobille","91547",6235,68149,0.9784,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","SURFCOMM0000000013681363","La Forêt-le-Roi","91247",6292,68203,0.8441,0.0387,0,0.1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","SURFCOMM0000000013681364","Boutervilliers","91098",6302,68173,0.8359,0.0431,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","SURFCOMM0000000013681365","Saint-Hilaire","91556",6317,68152,0.757,0.0489,0,0.1881,0,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","SURFCOMM0000000013681366","Auvers-Saint-Georges","91038",6423,68216,0.5286,0.0955,0,0.3759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","SURFCOMM0000000013681367","Brières-les-Scellés","91109",6364,68178,0.7083,0.066,0.0394,0.1609,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","SURFCOMM0000000013681368","Morigny-Champigny","91433",6396,68165,0.657,0.0532,0.0174,0.2081,0.0194,0.0158,0.0139,0,0,0,0,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","SURFCOMM0000000013681369","Étampes","91223",6380,68153,0.6829,0.1489,0.0121,0.087,0.0286,0,0.0169,0,0,0.0089,0,0.0147,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","SURFCOMM0000000013681370","Orveau","91473",6477,68166,0.4977,0,0,0,0.0488,0,0,0,0,0.0302,0,0.4233,0,0,0,0,0,0,0,0,0,0,0,0,0
